#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
79.0,Haiti,5722,+179,98.0,+2,641.0,+129,4983.0,,502.0,9.0,11332.0,994.0,11400535.0,North America,1992.0,116332.0,1006.0
80.0,Ethiopia,5570,+145,94.0,+5,2015.0,+327,3461.0,34.0,48.0,0.8,243016.0,2115.0,114903773.0,Africa,20629.0,1222381.0,473.0
81.0,Guinea,5260,,29.0,,4155.0,,1076.0,24.0,401.0,2.0,14407.0,1098.0,13124855.0,Africa,2495.0,452581.0,911.0
82.0,Gabon,5209,,40.0,,2327.0,,2842.0,10.0,2341.0,18.0,34774.0,15631.0,2224664.0,Africa,427.0,55617.0,64.0
83.0,Venezuela,4779,,41.0,,1327.0,,3411.0,9.0,168.0,1.0,1190307.0,41858.0,28436486.0,South America,5950.0,693573.0,24.0
84.0,Djibouti,4643,,52.0,,4348.0,,243.0,,4700.0,53.0,45998.0,46567.0,987776.0,Africa,213.0,18996.0,21.0
85.0,Bulgaria,4513,,215.0,,2457.0,,1841.0,18.0,649.0,31.0,131043.0,18859.0,6948680.0,Europe,1540.0,32319.0,53.0
86.0,Kyrgyzstan,4513,+309,46.0,+3,2212.0,+50,2255.0,30.0,692.0,7.0,199853.0,30641.0,6522410.0,Asia,1445.0,141792.0,33.0
87.0,Luxembourg,4173,,110.0,,3968.0,,95.0,1.0,6668.0,176.0,168786.0,269708.0,625810.0,Europe,150.0,5689.0,4.0
88.0,Hungary,4138,+11,578.0,,2681.0,+18,879.0,11.0,428.0,60.0,270263.0,27976.0,9660521.0,Europe,2335.0,16714.0,36.0
89.0,Bosnia and Herzegovina,3935,,178.0,,2338.0,,1419.0,4.0,1199.0,54.0,88548.0,26989.0,3280924.0,Europe,834.0,18432.0,37.0
90.0,Mauritania,3907,,120.0,,1280.0,,2507.0,21.0,841.0,26.0,13842.0,2979.0,4646990.0,Africa,1189.0,38725.0,336.0
91.0,Greece,3343,,191.0,,1374.0,,1778.0,11.0,321.0,18.0,295851.0,28383.0,10423348.0,Europe,3118.0,54573.0,35.0
92.0,CAR,3340,,40.0,,661.0,,2639.0,2.0,692.0,8.0,22884.0,4740.0,4828335.0,Africa,1446.0,120708.0,211.0
93.0,French Guiana,3270,,11.0,,1166.0,,2093.0,21.0,10954.0,37.0,8061.0,27004.0,298515.0,South America,91.0,27138.0,37.0
